: 0.000535
Epoch 1176, Average Meta Loss: 0.5112, Average AUC: 0.7684, LR: 0.000524
Epoch 1177, Average Meta Loss: 0.4687, Average AUC: 0.7618, LR: 0.000513
Epoch 1178, Average Meta Loss: 0.4836, Average AUC: 0.7590, LR: 0.000502
Epoch 1179, Average Meta Loss: 0.5365, Average AUC: 0.7159, LR: 0.000492
Epoch 1180, Average Meta Loss: 0.4454, Average AUC: 0.7695, LR: 0.000481
Epoch 1181, Average Meta Loss: 0.5263, Average AUC: 0.7238, LR: 0.000471
Epoch 1182, Average Meta Loss: 0.4369, Average AUC: 0.8468, LR: 0.000460
Epoch 1183, Average Meta Loss: 0.5106, Average AUC: 0.7680, LR: 0.000450
Epoch 1184, Average Meta Loss: 0.4936, Average AUC: 0.7789, LR: 0.000440
Epoch 1185, Average Meta Loss: 0.5062, Average AUC: 0.7372, LR: 0.000430
Epoch 1186, Average Meta Loss: 0.4974, Average AUC: 0.7821, LR: 0.000420
Epoch 1187, Average Meta Loss: 0.4926, Average AUC: 0.8003, LR: 0.000410
Epoch 1188, Average Meta Loss: 0.4762, Average AUC: 0.8079, LR: 0.000401
Epoch 1189, Average Meta Loss: 0.4941, Average AUC: 0.7956, LR: 0.000391
Epoch 1190, Average Meta Loss: 0.4923, Average AUC: 0.7768, LR: 0.000382
Epoch 1191, Average Meta Loss: 0.5097, Average AUC: 0.7622, LR: 0.000372
Epoch 1192, Average Meta Loss: 0.4828, Average AUC: 0.7953, LR: 0.000363
Epoch 1193, Average Meta Loss: 0.4901, Average AUC: 0.7818, LR: 0.000354
Epoch 1194, Average Meta Loss: 0.5086, Average AUC: 0.7388, LR: 0.000345
Epoch 1195, Average Meta Loss: 0.5291, Average AUC: 0.7297, LR: 0.000336
Epoch 1196, Average Meta Loss: 0.4136, Average AUC: 0.8168, LR: 0.000327
Epoch 1197, Average Meta Loss: 0.5342, Average AUC: 0.7782, LR: 0.000319
Epoch 1198, Average Meta Loss: 0.4485, Average AUC: 0.8030, LR: 0.000310
Epoch 1199, Average Meta Loss: 0.4860, Average AUC: 0.7735, LR: 0.000302
Epoch 1200, Average Meta Loss: 0.4766, Average AUC: 0.7782, LR: 0.000293
Epoch 1201, Average Meta Loss: 0.4323, Average AUC: 0.8286, LR: 0.000285
Epoch 1202, Average Meta Loss: 0.4978, Average AUC: 0.7637, LR: 0.000277
Epoch 1203, Average Meta Loss: 0.4475, Average AUC: 0.7665, LR: 0.000269
Epoch 1204, Average Meta Loss: 0.4703, Average AUC: 0.8018, LR: 0.000261
Epoch 1205, Average Meta Loss: 0.4422, Average AUC: 0.7912, LR: 0.000253
Epoch 1206, Average Meta Loss: 0.4814, Average AUC: 0.7870, LR: 0.000246
Epoch 1207, Average Meta Loss: 0.5250, Average AUC: 0.7798, LR: 0.000238
Epoch 1208, Average Meta Loss: 0.5150, Average AUC: 0.7441, LR: 0.000231
Epoch 1209, Average Meta Loss: 0.4781, Average AUC: 0.7529, LR: 0.000223
Epoch 1210, Average Meta Loss: 0.4793, Average AUC: 0.7668, LR: 0.000216
Epoch 1211, Average Meta Loss: 0.4649, Average AUC: 0.7747, LR: 0.000209
Epoch 1212, Average Meta Loss: 0.5074, Average AUC: 0.7442, LR: 0.000202
Epoch 1213, Average Meta Loss: 0.5205, Average AUC: 0.7900, LR: 0.000195
Epoch 1214, Average Meta Loss: 0.5447, Average AUC: 0.7644, LR: 0.000189
Epoch 1215, Average Meta Loss: 0.4246, Average AUC: 0.8177, LR: 0.000182
Epoch 1216, Average Meta Loss: 0.4866, Average AUC: 0.7757, LR: 0.000176
Epoch 1217, Average Meta Loss: 0.5242, Average AUC: 0.7321, LR: 0.000169
Epoch 1218, Average Meta Loss: 0.4560, Average AUC: 0.8474, LR: 0.000163
Epoch 1219, Average Meta Loss: 0.4411, Average AUC: 0.8318, LR: 0.000157
Epoch 1220, Average Meta Loss: 0.4982, Average AUC: 0.7942, LR: 0.000151
Epoch 1221, Average Meta Loss: 0.5231, Average AUC: 0.7425, LR: 0.000145
Epoch 1222, Average Meta Loss: 0.5357, Average AUC: 0.7894, LR: 0.000139
Epoch 1223, Average Meta Loss: 0.4465, Average AUC: 0.7945, LR: 0.000133
Epoch 1224, Average Meta Loss: 0.5415, Average AUC: 0.7816, LR: 0.000128
Epoch 1225, Average Meta Loss: 0.4714, Average AUC: 0.7629, LR: 0.000122
Epoch 1226, Average Meta Loss: 0.4911, Average AUC: 0.7649, LR: 0.000117
Epoch 1227, Average Meta Loss: 0.5227, Average AUC: 0.7235, LR: 0.000112
Epoch 1228, Average Meta Loss: 0.4489, Average AUC: 0.7921, LR: 0.000107
Epoch 1229, Average Meta Loss: 0.5464, Average AUC: 0.7851, LR: 0.000102
Epoch 1230, Average Meta Loss: 0.5182, Average AUC: 0.7551, LR: 0.000097
